,Method,Wins,Ties,Losses
0,RUS,6,2,4
1,TomekLinks,7,1,4
2,ENN,8,1,3
3,NearMiss,7,1,4
4,AllKNN,6,1,5
5,IHT,6,1,5
6,CNN,7,1,4
7,NCR,7,1,4
8,REEN,7,1,4
9,OSS,6,1,5
10,CC,6,1,5
11,ROS,7,2,3
12,SMOTE,7,1,4
13,BSMOTE,7,2,3
14,SVM,3,1,8
15,SMOTEENN,7,1,4
16,SMOTETomek,7,1,4
