Dataset,Experiment,Mean_Recall,Std_Recall,Mean_F1,Std_F1,Mean_Precision,Std_Precision
Haberman,CNN_0,0.3961029411764706,0.04849194557907353,0.34655451983581165,0.03367234394902359,0.31498601264079873,0.028747172372155304
Haberman,CNN_1,0.3958333333333333,0.035228868062205064,0.35035790907666015,0.029725044229619326,0.31944932038079094,0.02941501714569601
Haberman,NCR_0,0.3828921568627451,0.04645753001772633,0.3302354376257702,0.03626820940986327,0.29668053468108796,0.031159056744785876
Haberman,NCR_1,0.39012254901960775,0.0401108089475296,0.3315929785926527,0.028157230764834642,0.29318376636347293,0.023598584915008033
Haberman,REEN_0,0.6047058823529411,0.03936976471484714,0.3912622664067478,0.017764324861458753,0.29242593587170274,0.012811272718696424
Haberman,REEN_1,0.5932352941176471,0.039929201329358704,0.39023855512843775,0.025435207024718794,0.2936961198062228,0.020721796068204627
Haberman,OSS_0,0.19928921568627456,0.03345304520039314,0.25134285188743904,0.03824022151652091,0.3709645925969455,0.06316531567763212
Haberman,OSS_1,0.19786764705882354,0.02667091274225893,0.25259671225871005,0.03270708382696584,0.3650325366354778,0.051415758263871736
Haberman,CC_0,0.41237745098039225,0.0501547789373047,0.3366152800812656,0.034101683779516646,0.2881811492911341,0.027798490746293595
Haberman,CC_1,0.41627450980392156,0.03971846810940841,0.34310361058383837,0.029006484668324145,0.2946033722920197,0.02398530380132263
Haberman,ROS_0,0.4780147058823529,0.0455278497920749,0.37503556672285493,0.030671205428219044,0.311858121835659,0.024070810422475646
Haberman,ROS_1,0.4813725490196079,0.036573686765615704,0.3802478360461541,0.028305193021548845,0.3176512698428986,0.02715805550939433
Haberman,SMOTE_0,0.48899509803921565,0.047295850423903586,0.38973184595123384,0.0321787841263033,0.3280494877374129,0.024795706962564047
Haberman,SMOTE_1,0.5006127450980391,0.038612432695567654,0.3966204726438168,0.02550266573599103,0.3316721241682972,0.020993198303680224
Haberman,BSMOTE_0,0.5000735294117649,0.037807443099852164,0.3983023194581058,0.024852556863278533,0.33500239976976304,0.019809715569150517
Haberman,BSMOTE_1,0.4963235294117647,0.04027147997271293,0.3986136613870575,0.026078086377813933,0.33634647534389045,0.02185846319053974
Haberman,SVM_0,0.3711764705882353,0.04234570676230989,0.34852002723891196,0.03200577322615335,0.33743317723892097,0.032736384368371334
Haberman,SVM_1,0.370392156862745,0.04662944944512594,0.3476503715818942,0.03261298803134022,0.3341712370500431,0.026107590029947565
Haberman,SMOTEENN_0,0.5386274509803922,0.055642782829813164,0.38130711504350423,0.027831578553172958,0.2986474809339851,0.020522273128507976
Haberman,SMOTEENN_1,0.5389460784313727,0.0425812894369287,0.3790112735544619,0.022918854517968795,0.295149803944082,0.01649215818197734
Haberman,SMOTETomek_0,0.48382352941176465,0.042104390508774035,0.38778613852079385,0.028509875124846127,0.32798859099289795,0.023034488353969755
Haberman,SMOTETomek_1,0.49480392156862735,0.02905911956399709,0.39568382302140814,0.02073445342208602,0.3329996593220458,0.019478789260477136
HeartCleveland,Baseline,0.6821164021164022,0.01466804979595405,0.6959187823111324,0.013186493614793187,0.7167801374248783,0.014577875101164156
HeartCleveland,RUS_0,0.6979188712522045,0.016541865447790554,0.6956322435352356,0.014293612017608131,0.6995784479010495,0.018065395569991205
HeartCleveland,RUS_1,0.691058201058201,0.014793919504640748,0.6897625393872482,0.009944249617505367,0.6932215221199759,0.01224933744816213
HeartCleveland,MLCV,0.6737830687830688,0.01803492402917747,0.6907391496955775,0.013512842360389013,0.7153348720824813,0.014945975275104688
HeartCleveland,TomekLinks_0,0.712248677248677,0.014168002528999952,0.6982621839861921,0.013471297412583318,0.6901263305598353,0.015696265112325
HeartCleveland,TomekLinks_1,0.7095414462081128,0.015209674488944641,0.6962140616328586,0.0118816753305071,0.6886038161817917,0.014898749382901038
HeartCleveland,ENN_0,0.8437389770723102,0.014952330609319067,0.7082912953885089,0.011423787308292722,0.6130584439101995,0.01330217504200715
HeartCleveland,ENN_1,0.8389506172839507,0.017970303587912632,0.7072955266562179,0.010119779874471338,0.6135820610188889,0.010860576438722357
HeartCleveland,NearMiss_0,0.6884303350970017,0.015285715404922328,0.6970701182513441,0.01382699855793967,0.7124991178227691,0.01577577494893204
HeartCleveland,NearMiss_1,0.6827601410934744,0.01718410720316789,0.6928931984271256,0.013463026227095156,0.7098093198038715,0.015055113296786818
HeartCleveland,AllKNN_0,0.7468518518518519,0.012953844469541221,0.7070205021607716,0.011228479052679005,0.6757818803421094,0.012278320687027703
HeartCleveland,AllKNN_1,0.7447089947089947,0.017656690592901796,0.7046484719888579,0.011577713558389284,0.673448608278885,0.012269816026437277
HeartCleveland,IHT_0,0.7081481481481483,0.014059612519492764,0.7010788110608885,0.013059870394757507,0.7001133328792418,0.014775927433392975
HeartCleveland,IHT_1,0.7049559082892418,0.014713519493182134,0.6999394358811418,0.009913249830559624,0.7006234803457295,0.013732050980603894
