Experiment 1,Experiment 2,Metric,Mean 1,Mean 2,Std 1,Std 2
Baseline,MLCV,Recall,0.5116473423546879,0.5126154584011766,0.342382112805184,0.3397273150076697
Baseline,MLCV,F1,0.5545828040381996,0.5568752116285473,0.32642473209978734,0.3227911203428037
Baseline,MLCV,Precision,0.6688353539346589,0.6718044465193488,0.3191341284708841,0.3123666564855655
RUS_0,RUS_1,Recall,0.700225431834471,0.701469070694332,0.17107911676190155,0.17314482076201654
RUS_0,RUS_1,F1,0.6136842504849785,0.6162122943824228,0.2325157323706816,0.2330683421499247
RUS_0,RUS_1,Precision,0.5819985831159268,0.5849719468876181,0.27676899151892226,0.27671419101013095
TomekLinks_0,TomekLinks_1,Recall,0.545043885928976,0.5455521303809828,0.3241557903090317,0.3234817275678376
TomekLinks_0,TomekLinks_1,F1,0.5769209199610122,0.5778445051441061,0.30898841627337464,0.3082500629656495
TomekLinks_0,TomekLinks_1,Precision,0.670438812310398,0.669927189496641,0.30722828963449705,0.3059486029976006
ENN_0,ENN_1,Recall,0.6615846409446782,0.6630557929809565,0.27679998382176013,0.2783215376036715
ENN_0,ENN_1,F1,0.6180154761498663,0.6191378320729656,0.2755269572217661,0.2766599624025251
ENN_0,ENN_1,Precision,0.6215415574444454,0.6240378716728,0.29227915330428056,0.29435228539868985
NearMiss_0,NearMiss_1,Recall,0.669619486804479,0.6693739763858791,0.16226743177606817,0.16244211452275867
NearMiss_0,NearMiss_1,F1,0.5968265561457943,0.5971611581380029,0.24723103685455988,0.24700272790613972
NearMiss_0,NearMiss_1,Precision,0.5874253222147227,0.5883316631841615,0.31013864246554257,0.30957838002385785
AllKNN_0,AllKNN_1,Recall,0.6867226505813816,0.690215680259502,0.2520802430420339,0.2489107554499088
AllKNN_0,AllKNN_1,F1,0.6268964283983413,0.6295085186974689,0.2626731638184177,0.2613100320591183
AllKNN_0,AllKNN_1,Precision,0.6205847484037273,0.623257100841012,0.28759126790068085,0.2879628255809969
IHT_0,IHT_1,Recall,0.7182341239059044,0.7177430107448658,0.22227141980396276,0.22044701197314948
IHT_0,IHT_1,F1,0.6443262985693676,0.64361786233084,0.24823139303113134,0.24847652830094888
IHT_0,IHT_1,Precision,0.6445795839877299,0.6438071089492373,0.28889242930978404,0.2898308077329738
CNN_0,CNN_1,Recall,0.6922287684841408,0.6971903933891374,0.2711499630112666,0.2697872791770151
CNN_0,CNN_1,F1,0.5945339770353703,0.596695290181895,0.26388329791544674,0.26211540187806226
CNN_0,CNN_1,Precision,0.5418884090682329,0.542856225193137,0.27328320901141945,0.27190824772511313
NCR_0,NCR_1,Recall,0.6464779930395713,0.649518554629322,0.2848105087131209,0.28276094232774784
NCR_0,NCR_1,F1,0.6158375514927166,0.6173979144720408,0.28218671863305594,0.28125500667659187
NCR_0,NCR_1,Precision,0.6289843881183542,0.6287147337030432,0.30027284410993044,0.3002501713991812
Reen_0,Reen_1,Recall,0.7212301892630649,0.7237026415391951,0.221217142945546,0.2187676047835845
Reen_0,Reen_1,F1,0.6300098492199249,0.6329399582747443,0.25425796108930243,0.2533515098009578
Reen_0,Reen_1,Precision,0.6020338956037691,0.604601691600034,0.2836272267904445,0.283579545301511
OSS_0,OSS_1,Recall,0.5494848546047881,0.5500967036439643,0.3216425754019561,0.3206334452767747
OSS_0,OSS_1,F1,0.577922514960021,0.57815288475585,0.30570179354515203,0.30396521056017484
OSS_0,OSS_1,Precision,0.6643705032209347,0.661934806202531,0.30359046792623723,0.30139909547883253
CC_0,CC_1,Recall,0.6936224520273925,0.6954067854742522,0.19318867976484733,0.1930604965107355
CC_0,CC_1,F1,0.6254608736501299,0.6259737003715243,0.2434267678179757,0.24163148911853985
CC_0,CC_1,Precision,0.6091951765393692,0.6086906042983673,0.2865970307171343,0.2847040322625743
ROS_0,ROS_1,Recall,0.6967573823832778,0.700753623865883,0.2047706595987567,0.20623603363268003
ROS_0,ROS_1,F1,0.6427514751896877,0.6464105213164029,0.2545979796350427,0.25390500698374946
ROS_0,ROS_1,Precision,0.6193709284527605,0.6223692184563666,0.28583676944243924,0.28498353435489676
SMOTE_0,SMOTE_1,Recall,0.6970252019212103,0.6997898028040606,0.19449976517453646,0.1918881833457192
SMOTE_0,SMOTE_1,F1,0.6460462932661223,0.6468552100719206,0.24964467043720184,0.24758853128907363
SMOTE_0,SMOTE_1,Precision,0.6282030972124262,0.6277279434273858,0.28637345091211114,0.28455018877685745
BSMOTE_0,BSMOTE_1,Recall,0.709936034844458,0.7113638478797912,0.20463306683998797,0.20356984035099396
BSMOTE_0,BSMOTE_1,F1,0.6495794878000775,0.6503955653497451,0.25019081751514277,0.24883647388512417
BSMOTE_0,BSMOTE_1,Precision,0.6195606621505425,0.6200740198847734,0.2773966929913624,0.2763436077158062
SVM_0,SVM_1,Recall,0.6616280082827487,0.6613420956749856,0.24601590763568307,0.24564644883806433
SVM_0,SVM_1,F1,0.6395309954804973,0.6391311707372779,0.2638881051974256,0.26394492439954026
SVM_0,SVM_1,Precision,0.6363328782654681,0.6361708301384345,0.27960571133701845,0.2812878362011837
SMOTENN_0,SMOTENN_1,Recall,0.7356635557770975,0.7426816171534923,0.15744806806257525,0.15193741386898849
SMOTENN_0,SMOTENN_1,F1,0.6412410038537254,0.6425029602403501,0.23820898612985417,0.2361397565010492
SMOTENN_0,SMOTENN_1,Precision,0.6116905583786362,0.6109949871016878,0.2878665848887035,0.2865649999337725
SMOTETomek_0,SMOTETomek_1,Recall,0.6973602892855458,0.6997286753914612,0.1926767834206828,0.19086453187063654
SMOTETomek_0,SMOTETomek_1,F1,0.6463978503580189,0.6473053240506961,0.2490062852811696,0.24713725845025047
SMOTETomek_0,SMOTETomek_1,Precision,0.6293023848344286,0.6292009181037853,0.28636577197537877,0.28456919240848655
