Method,Wins,Ties,Losses
RUS,24,5,19
TomekLinks,22,12,14
ENN,21,8,19
NearMiss,24,6,18
AllKNN,21,9,18
IHT,15,8,25
CNN,22,7,19
NCR,18,9,21
REEN,21,8,19
OSS,23,10,15
CC,25,6,17
ROS,24,9,15
SMOTE,30,6,12
BSMOTE,20,7,21
SVM,23,9,16
SMOTEENN,17,6,25
SMOTETomek,28,7,13
