Method,Wins,Ties,Losses
RUS,9,25,14
TomekLinks,15,28,5
ENN,9,25,14
NearMiss,12,24,12
AllKNN,7,27,14
IHT,10,26,12
CNN,11,25,12
NCR,10,25,13
REEN,10,24,14
OSS,8,28,12
CC,14,26,8
ROS,14,24,10
SMOTE,13,25,10
BSMOTE,15,24,9
SVM,11,24,13
SMOTEENN,7,25,16
SMOTETomek,14,25,9
