,Method,Wins,Ties,Losses
0,RUS,6,1,5
1,TomekLinks,7,3,2
2,ENN,7,1,4
3,NearMiss,4,2,6
4,AllKNN,6,2,4
5,IHT,3,2,7
6,CNN,7,1,4
7,NCR,3,2,7
8,REEN,7,2,3
9,OSS,5,2,5
10,CC,6,2,4
11,ROS,7,2,3
12,SMOTE,6,3,3
13,BSMOTE,5,4,3
14,SVM,7,3,2
15,SMOTEENN,3,2,7
16,SMOTETomek,8,3,1
