Method,Wins,Ties,Losses
RUS,9,26,13
TomekLinks,15,27,6
ENN,9,25,14
NearMiss,15,24,9
AllKNN,7,26,15
IHT,5,24,19
CNN,7,25,16
NCR,10,25,13
REEN,5,24,19
OSS,11,29,8
CC,15,25,8
ROS,15,25,8
SMOTE,12,25,11
BSMOTE,15,26,7
SVM,14,24,10
SMOTEENN,6,25,17
SMOTETomek,14,24,10
