,Method,Wins,Ties,Losses
0,RUS,2,6,4
1,TomekLinks,5,7,0
2,ENN,4,6,2
3,NearMiss,4,6,2
4,AllKNN,2,6,4
5,IHT,3,6,3
6,CNN,0,6,6
7,NCR,3,6,3
8,REEN,3,6,3
9,OSS,5,6,1
10,CC,5,6,1
11,ROS,4,6,2
12,SMOTE,4,6,2
13,BSMOTE,3,6,3
14,SVM,4,6,2
15,SMOTEENN,2,6,4
16,SMOTETomek,5,6,1
