,Method,Wins,Ties,Losses
0,RUS,7,1,4
1,TomekLinks,5,3,4
2,ENN,6,2,4
3,NearMiss,7,1,4
4,AllKNN,8,2,2
5,IHT,9,1,2
6,CNN,5,3,4
7,NCR,7,2,3
8,REEN,6,2,4
9,OSS,5,2,5
10,CC,8,1,3
11,ROS,7,3,2
12,SMOTE,6,1,5
13,BSMOTE,6,1,5
14,SVM,8,1,3
15,SMOTEENN,6,1,5
16,SMOTETomek,6,1,5
