,Method,Wins,Ties,Losses
0,RUS,1,6,5
1,TomekLinks,2,9,1
2,ENN,1,7,4
3,NearMiss,4,6,2
4,AllKNN,2,7,3
5,IHT,4,6,2
6,CNN,5,7,0
7,NCR,3,7,2
8,REEN,2,6,4
9,OSS,0,10,2
10,CC,2,7,3
11,ROS,1,6,5
12,SMOTE,2,6,4
13,BSMOTE,3,6,3
14,SVM,1,6,5
15,SMOTEENN,3,7,2
16,SMOTETomek,2,6,4
