Experiment 1,Experiment 2,Metric,Mean 1,Mean 2,Std 1,Std 2
Baseline,MLCV,Recall,0.41105013042513044,0.4112374523624524,0.40471052392887796,0.40468185178898447
Baseline,MLCV,F1,0.4366078524682528,0.43673788665136176,0.40808892419052883,0.4080652378967426
Baseline,MLCV,Precision,0.5022660667471317,0.5011516824214471,0.4359864643423291,0.4356900880222416
RUS_0,RUS_1,Recall,0.7325015340373754,0.7304253055046518,0.17332524084716694,0.17373172504353
RUS_0,RUS_1,F1,0.5913080353598857,0.5904370651971204,0.2061807448403022,0.20621931485942874
RUS_0,RUS_1,Precision,0.5688648772917778,0.5683616836082258,0.2728100016232925,0.2726614448637263
TomekLinks_0,TomekLinks_1,Recall,0.43228994017964606,0.43219440281940286,0.40781948280139585,0.40797073391046124
TomekLinks_0,TomekLinks_1,F1,0.4511735748498884,0.45122925672461034,0.41035767765724906,0.4106128555345234
TomekLinks_0,TomekLinks_1,Precision,0.5019860321136581,0.5013421945103906,0.43446862609242376,0.4353419215111583
ENN_0,ENN_1,Recall,0.5708688030832638,0.5690893509177822,0.3775475025812859,0.3791719882452264
ENN_0,ENN_1,F1,0.5340624184747095,0.5320663358607768,0.3546636388922081,0.3564337530208982
ENN_0,ENN_1,Precision,0.5521420093598434,0.55039056603778,0.36422302076913055,0.36578223647563296
NearMiss_0,NearMiss_1,Recall,0.5995274934441469,0.6013186102113666,0.21228714987551509,0.21100570486754291
NearMiss_0,NearMiss_1,F1,0.5534442355533716,0.5544374300769563,0.26570632928655546,0.26468385948374645
NearMiss_0,NearMiss_1,Precision,0.5813814374632468,0.5816894673968169,0.32807376676686645,0.327383207287384
AllKNN_0,AllKNN_1,Recall,0.6179643257069728,0.6193940360882763,0.3459288793616894,0.3452490819991964
AllKNN_0,AllKNN_1,F1,0.5636988946227028,0.5646597388508919,0.332087500503029,0.3316922575826901
AllKNN_0,AllKNN_1,Precision,0.5699814582172074,0.5707193035384694,0.3540000050560012,0.3537390522084197
IHT_0,IHT_1,Recall,0.6700057123341437,0.6711921905935386,0.30643627157839765,0.30366811440577024
IHT_0,IHT_1,F1,0.590370814149665,0.5914708946286314,0.30335180955772273,0.3019303302342295
IHT_0,IHT_1,Precision,0.5844360109505004,0.5858132247359189,0.3277561665255886,0.3262297076821103
CNN_0,CNN_1,Recall,0.7548119649957886,0.7551307515559967,0.2907210101685379,0.29128111966713466
CNN_0,CNN_1,F1,0.524007403162681,0.5253472174559713,0.2579009875448408,0.25725364414714225
CNN_0,CNN_1,Precision,0.4503871481092399,0.4527352540392631,0.2849425790820639,0.2836836439448004
NCR_0,NCR_1,Recall,0.5362128868544308,0.5364214917707565,0.4058423446045397,0.40630678519296437
NCR_0,NCR_1,F1,0.5066874694503164,0.5067873018063082,0.3842722751582548,0.38428780724082545
NCR_0,NCR_1,Precision,0.5225595941834031,0.5231657740223975,0.4008244672439272,0.40009626287789535
Reen_0,Reen_1,Recall,0.6595208733940352,0.6605420104813486,0.3159060079942855,0.3137033681670913
Reen_0,Reen_1,F1,0.5770179403405477,0.5765069852209723,0.30979175009797233,0.3089461163800549
Reen_0,Reen_1,Precision,0.569916324693771,0.5693276239541222,0.33628560271459673,0.3359147296692572
OSS_0,OSS_1,Recall,0.42548338909184497,0.4250635741573241,0.40133703870082,0.40132229705373995
OSS_0,OSS_1,F1,0.43617174026066485,0.43601173069046234,0.397975679442864,0.3981206978846708
OSS_0,OSS_1,Precision,0.48830217561259315,0.48743602346957693,0.42095171336727616,0.4218346113377703
CC_0,CC_1,Recall,0.7387536679486169,0.7405069017563849,0.1691609513075271,0.1679874585506962
CC_0,CC_1,F1,0.5972577203378965,0.5977623029403691,0.19877623097172364,0.19791974296825102
CC_0,CC_1,Precision,0.5812724486255952,0.5815049475587463,0.2741892669378469,0.27375862618586166
ROS_0,ROS_1,Recall,0.7550516035368234,0.7533595691732202,0.15322838915373035,0.15399899038280013
ROS_0,ROS_1,F1,0.6459734917466085,0.644650310113927,0.2185437869873069,0.21969294041654303
ROS_0,ROS_1,Precision,0.6225150920378569,0.6209833988646022,0.2654467452658791,0.2669610858001873
SMOTE_0,SMOTE_1,Recall,0.7561102161280875,0.7565370515702415,0.1478364930785109,0.14693377070057292
SMOTE_0,SMOTE_1,F1,0.6463633525378503,0.6458504076626808,0.21842708717369755,0.2188568903603142
