,Method,Wins,Ties,Losses
0,RUS,3,6,3
1,TomekLinks,6,6,0
2,ENN,2,6,4
3,NearMiss,5,6,1
4,AllKNN,3,6,3
5,IHT,3,6,3
6,CNN,1,6,5
7,NCR,4,6,2
8,REEN,3,6,3
9,OSS,6,6,0
10,CC,5,6,1
11,ROS,5,6,1
12,SMOTE,4,6,2
13,BSMOTE,4,6,2
14,SVM,2,6,4
15,SMOTEENN,3,6,3
16,SMOTETomek,5,6,1
