,Method,Wins,Ties,Losses
0,RUS,7,2,3
1,TomekLinks,7,1,4
2,ENN,5,2,5
3,NearMiss,9,1,2
4,AllKNN,4,1,7
5,IHT,4,3,5
6,CNN,8,1,3
7,NCR,4,1,7
8,REEN,5,3,4
9,OSS,8,1,3
10,CC,5,1,6
11,ROS,7,2,3
12,SMOTE,9,1,2
13,BSMOTE,7,1,4
14,SVM,9,2,1
15,SMOTEENN,5,1,6
16,SMOTETomek,7,2,3
