Experiment 1,Experiment 2,Metric,Median difference,Statistic,P-value,Interpretation
Baseline,MLCV,Recall,0.0005426384399560003,32.5,0.6101201547975077,Not Significant
Baseline,MLCV,F1,0.00039353195896407733,27.5,0.36698557185492453,Not Significant
Baseline,MLCV,Precision,0.0,37.5,0.906293509044724,Not Significant
RUS_0,RUS_1,Recall,0.0006984126984126982,30.5,0.5047392591799146,Not Significant
RUS_0,RUS_1,F1,0.001349512543948661,28.5,0.4101169916790808,Not Significant
RUS_0,RUS_1,Precision,-3.5372384624476894e-05,36.5,0.84451926747294,Not Significant
TomekLinks_0,TomekLinks_1,Recall,0.0007622442916561112,28.5,0.4101169916790808,Not Significant
TomekLinks_0,TomekLinks_1,F1,0.0011689237408815112,22.5,0.1955388591039955,Not Significant
TomekLinks_0,TomekLinks_1,Precision,0.000719118539072916,29.5,0.4561258517135216,Not Significant
ENN_0,ENN_1,Recall,-0.0006942906361512846,30.5,0.5049031767231309,Not Significant
ENN_0,ENN_1,F1,5.371118977304246e-06,35.5,0.7836523115344085,Not Significant
ENN_0,ENN_1,Precision,-0.000111967634797705,34.5,0.7240816609153895,Not Significant
NearMiss_0,NearMiss_1,Recall,0.0005845866521543841,24.5,0.2553403615339004,Not Significant
NearMiss_0,NearMiss_1,F1,0.001265190724444254,19.5,0.12608955395259033,Not Significant
NearMiss_0,NearMiss_1,Precision,0.0014180174376401955,18.5,0.10780182537536617,Not Significant
AllKNN_0,AllKNN_1,Recall,-0.0008730158730160253,22.5,0.1955388591039955,Not Significant
AllKNN_0,AllKNN_1,F1,-0.0002524790498367041,32.5,0.6101201547975077,Not Significant
AllKNN_0,AllKNN_1,Precision,-0.0003746915898034109,35.5,0.7836523115344085,Not Significant
IHT_0,IHT_1,Recall,-0.00040390302678178225,25.5,0.28940186128033996,Not Significant
IHT_0,IHT_1,F1,-2.5141042343301834e-05,37.5,0.9063293908364868,Not Significant
IHT_0,IHT_1,Precision,-3.5641051219614805e-05,35.5,0.7836523115344085,Not Significant
CNN_0,CNN_1,Recall,0.0017399267399266782,18.5,0.10780182537536617,Not Significant
CNN_0,CNN_1,F1,0.0014829227114985244,28.5,0.4101169916790808,Not Significant
CNN_0,CNN_1,Precision,0.00015281780386083854,33.5,0.6661372044883171,Not Significant
NCR_0,NCR_1,Recall,-0.0012452253628723042,27.5,0.36698557185492453,Not Significant
NCR_0,NCR_1,F1,-0.0007342734592836742,31.5,0.5562984612747348,Not Significant
NCR_0,NCR_1,Precision,0.00020829262361765633,27.5,0.36698557185492453,Not Significant
Reen_0,Reen_1,Recall,-0.00072751322751341,26.5,0.326799567668966,Not Significant
Reen_0,Reen_1,F1,4.9123085292590574e-05,36.5,0.84451926747294,Not Significant
Reen_0,Reen_1,Precision,0.0003643641273232412,29.5,0.4561258517135216,Not Significant
OSS_0,OSS_1,Recall,0.00048505048220598423,20.5,0.14670764206619935,Not Significant
OSS_0,OSS_1,F1,0.0005995595417689348,25.5,0.2895874244268877,Not Significant
OSS_0,OSS_1,Precision,-0.0005435782397857913,20.5,0.14670764206619935,Not Significant
CC_0,CC_1,Recall,-0.000410052910052916,27.5,0.36680119939501743,Not Significant
CC_0,CC_1,F1,-0.0005624668979249403,30.5,0.5049031767231309,Not Significant
CC_0,CC_1,Precision,5.3170324436080385e-06,34.5,0.7240816609153895,Not Significant
ROS_0,ROS_1,Recall,0.0004239869638786864,30.5,0.5049031767231309,Not Significant
ROS_0,ROS_1,F1,0.00040754955232930046,23.5,0.22401538408861243,Not Significant
ROS_0,ROS_1,Precision,0.00016862363245856438,26.5,0.326799567668966,Not Significant
SMOTE_0,SMOTE_1,Recall,0.0006198686371101103,27.5,0.36698557185492453,Not Significant
SMOTE_0,SMOTE_1,F1,0.002043766223237653,15.5,0.06525725678295907,Not Significant
SMOTE_0,SMOTE_1,Precision,0.0011905766536246531,5.5,0.008589957251185604,MLCV Significantly Better
BSMOTE_0,BSMOTE_1,Recall,-0.0007824346196438348,26.5,0.326799567668966,Not Significant
BSMOTE_0,BSMOTE_1,F1,0.0006065602491734379,20.5,0.14670764206619935,Not Significant
BSMOTE_0,BSMOTE_1,Precision,3.408414373889945e-05,27.5,0.36698557185492453,Not Significant
SVM_0,SVM_1,Recall,0.00024125974119459936,23.5,0.22401538408861243,Not Significant
SVM_0,SVM_1,F1,0.0011371839964165464,7.5,0.01347119701821317,MLCV Significantly Better
SVM_0,SVM_1,Precision,0.0007220419117890675,5.5,0.008589957251185604,MLCV Significantly Better
SMOTENN_0,SMOTENN_1,Recall,0.0004903177979910245,32.5,0.6101201547975077,Not Significant
SMOTENN_0,SMOTENN_1,F1,-6.595333898717914e-05,31.5,0.5562984612747348,Not Significant
SMOTENN_0,SMOTENN_1,Precision,-0.0006019201668429064,20.5,0.14670764206619935,Not Significant
SMOTETomek_0,SMOTETomek_1,Recall,0.00013851784055368688,33.5,0.6661372044883171,Not Significant
SMOTETomek_0,SMOTETomek_1,F1,0.0011751709835861046,16.5,0.07755616674366551,Not Significant
SMOTETomek_0,SMOTETomek_1,Precision,0.0010678125233547497,15.5,0.06525725678295907,Not Significant
