Dataset,Experiment,Mean_Recall,Std_Recall,Mean_F1,Std_F1,Mean_Precision,Std_Precision
BCWDD,SVM_0,0.9515540789959392,0.006611257550923995,0.9305099333176802,0.0044843702878783155,0.9119857744349528,0.007586982282676418
BCWDD,SVM_1,0.9517497231450721,0.005892412989767962,0.9306007597814008,0.006152345832473109,0.9116549364470611,0.008827717607018386
BCWDD,SMOTEENN_0,0.9125581395348836,0.010170535239996123,0.9188609234563854,0.007093812627239602,0.9277797675951157,0.009669496538861365
BCWDD,SMOTEENN_1,0.9071982281284608,0.014421677654382745,0.9158311798379954,0.007936206617675346,0.9268872878862602,0.01080131216523231
BCWDD,SMOTETomek_0,0.9351974898486525,0.008496591088568185,0.934339782838361,0.00726435344435402,0.9353272638543121,0.012114218170789618
BCWDD,SMOTETomek_1,0.9348874123292731,0.00717293926910018,0.9365379379700959,0.004720654999622998,0.9398199270194891,0.007112226500103215
Haberman,Baseline,0.3641203703703703,0.018578894633124756,0.4416566677789588,0.018728314137603737,0.6174920634920634,0.03637628807095735
Haberman,RUS_0,0.6338970588235295,0.041017440624805654,0.5347820792965315,0.02447433865873691,0.46986050201535673,0.021031263932344144
Haberman,RUS_1,0.6374264705882353,0.037428492953565276,0.5398113710149256,0.02349485188737466,0.47384342658293993,0.020925157466222515
Haberman,MLCV,0.36587962962962955,0.011585272360427912,0.444129507432139,0.016272377913734773,0.6125646945646945,0.04056788235661932
Haberman,TomekLinks_0,0.43725490196078437,0.01583909929613676,0.47486578407440877,0.0157983237528988,0.5381665756271019,0.017896932187579435
Haberman,TomekLinks_1,0.43573529411764705,0.01294702407991704,0.4770525007146625,0.010888455590748289,0.5415497782231529,0.019332936997704733
Haberman,ENN_0,0.6279901960784312,0.02209958108301147,0.5291820710126188,0.016201594522368027,0.4645256555101056,0.013597761370048396
Haberman,ENN_1,0.6404166666666667,0.02233042220091002,0.541741690535937,0.015613518518251391,0.4747739557826907,0.015731844275603493
Haberman,NearMiss_0,0.6370833333333334,0.03203705150549447,0.5468376237646214,0.019722823617291267,0.4872488353415949,0.018273816046381442
Haberman,NearMiss_1,0.6398284313725491,0.02739144673592129,0.5521118524215934,0.01895839161747377,0.4920232398556292,0.016607683051029477
Haberman,AllKNN_0,0.7142401960784313,0.03070589370007053,0.5509224256581248,0.017508500589842265,0.45396179624901734,0.011447364839910079
Haberman,AllKNN_1,0.7157843137254901,0.025373318017258232,0.555635356047858,0.0159158737715316,0.45796211042542034,0.012649054098316384
Haberman,IHT_0,0.7041421568627453,0.019347676564061302,0.5362154688176778,0.01339167085475127,0.437752319579783,0.013680228722088267
Haberman,IHT_1,0.7108088235294118,0.022524616483990685,0.5419484257689053,0.013623258354411994,0.4415315174771221,0.01245845590035893
Haberman,CNN_0,0.5504411764705882,0.02744765386006873,0.5129988643528983,0.019499468773211234,0.4925294102893999,0.01856394729770016
Haberman,CNN_1,0.5461029411764706,0.0285133305698325,0.5078540081574202,0.01735713751309226,0.48487814898019904,0.01587145552212526
Haberman,NCR_0,0.5801470588235296,0.02640992504183058,0.5210727771570788,0.020008565455141795,0.48291501223078603,0.01646732907432878
Haberman,NCR_1,0.587450980392157,0.023645495916224363,0.5300218223554773,0.015919451792423857,0.4906488117294597,0.016467353842719735
Haberman,REEN_0,0.7622549019607844,0.03501283611492302,0.5620398362309675,0.01806641786562497,0.45141974497773707,0.016276230693343753
Haberman,REEN_1,0.7528676470588239,0.02933528659809525,0.5619747513373657,0.01666916601234997,0.4529947641845302,0.013992653531406937
Haberman,OSS_0,0.4393382352941177,0.017564912975021243,0.4759862083028155,0.01806987652745149,0.5378535916268115,0.01982011008966483
Haberman,OSS_1,0.4394362745098039,0.014705249169375215,0.47786638684472904,0.013814047641832082,0.5374742273550324,0.022743020153341918
Haberman,CC_0,0.5890196078431373,0.023627196727946137,0.5300324279221683,0.01764412248594219,0.49160001753189486,0.0171568344445883
Haberman,CC_1,0.5836274509803923,0.025826123561393834,0.5289074941263184,0.018682465403299417,0.4923439466018173,0.020421715620865283
Haberman,ROS_0,0.6192156862745097,0.027617274667385724,0.5319608040622622,0.016575421083248318,0.4741316332314609,0.013742451617622903
Haberman,ROS_1,0.626029411764706,0.01847291417851628,0.5388713654451398,0.012763883833089866,0.478792094702029,0.013364849363686076
Haberman,SMOTE_0,0.6110049019607843,0.025191369152489672,0.5266717512675498,0.015620321234694447,0.47070380302815873,0.014761473342371606
Haberman,SMOTE_1,0.6238970588235294,0.016999718007702558,0.5389870616794695,0.012132010226573607,0.4801695919702312,0.013438270995731414
Haberman,BSMOTE_0,0.6195588235294117,0.022199388740194927,0.5371269610367012,0.015912026669339014,0.4814916322510935,0.01402746717204015
Haberman,BSMOTE_1,0.6156862745098038,0.029338347912048174,0.5358821371559579,0.020918883414294917,0.48054738657637563,0.01762056233536763
Haberman,SVM_0,0.5452205882352941,0.020821291214045037,0.5073356609412546,0.013388201379916984,0.48449959440309415,0.013529132752484388
Haberman,SVM_1,0.5405882352941176,0.021107253436568316,0.5087859015868569,0.013006166011260962,0.4887632258340563,0.012698950891795114
Haberman,SMOTEENN_0,0.6899264705882353,0.03297483290267945,0.5354936531776211,0.02059898368651182,0.44333794812776245,0.018494377208104536
Haberman,SMOTEENN_1,0.6959558823529413,0.03418221472264291,0.5426787803061444,0.017292717228238753,0.4489472322583486,0.01444069466101143
Haberman,SMOTETomek_0,0.6089705882352943,0.02816243663766049,0.5260130916343367,0.017415842318604755,0.4705554247798203,0.015868185557639785
Haberman,SMOTETomek_1,0.6176960784313724,0.020168098836732144,0.5350519593032891,0.013018461270629788,0.47733116447830615,0.012954071282838868
HeartCleveland,Baseline,0.7950732600732601,0.009913975411092357,0.8228884481153234,0.008610262280814768,0.8650691017358975,0.012494884220058306
HeartCleveland,RUS_0,0.806269841269841,0.01321748296957716,0.8180314212794619,0.00964313008140549,0.8355804883982756,0.011955480745494166
HeartCleveland,RUS_1,0.808342151675485,0.0092304245740294,0.820376268093605,0.008474846784230841,0.8361816692395136,0.012153270715279406
HeartCleveland,MLCV,0.7965531135531135,0.007350723569090386,0.8252013253255216,0.0054197552695473585,0.8636926711632594,0.009002163708882216
HeartCleveland,TomekLinks_0,0.824726631393298,0.011799798557432043,0.8085739407400044,0.00861868363415443,0.7972851979754958,0.011687563281720253
