,Method,Wins,Ties,Losses
0,RUS,7,2,3
1,TomekLinks,7,1,4
2,ENN,7,2,3
3,NearMiss,9,1,2
4,AllKNN,6,1,5
5,IHT,3,3,6
6,CNN,7,1,4
7,NCR,5,2,5
8,REEN,7,2,3
9,OSS,7,2,3
10,CC,5,1,6
11,ROS,7,2,3
12,SMOTE,9,1,2
13,BSMOTE,7,1,4
14,SVM,9,2,1
15,SMOTEENN,5,1,6
16,SMOTETomek,7,2,3
