Method,Wins,Ties,Losses
RUS,8,25,15
TomekLinks,15,28,5
ENN,12,25,11
NearMiss,13,24,11
AllKNN,9,25,14
IHT,5,24,19
CNN,9,25,14
NCR,14,25,9
REEN,8,24,16
OSS,13,28,7
CC,14,25,9
ROS,16,24,8
SMOTE,13,26,9
BSMOTE,15,24,9
SVM,9,24,15
SMOTEENN,8,24,16
SMOTETomek,16,24,8
