Method,Wins,Ties,Losses
RUS,20,6,22
TomekLinks,22,14,12
ENN,21,11,16
NearMiss,25,5,18
AllKNN,26,8,14
IHT,21,9,18
CNN,23,8,17
NCR,22,11,15
REEN,24,9,15
OSS,20,12,16
CC,25,8,15
ROS,25,8,15
SMOTE,27,6,15
BSMOTE,25,6,17
SVM,30,7,11
SMOTEENN,22,5,21
SMOTETomek,27,7,14
