,Method,Wins,Ties,Losses
0,RUS,4,2,6
1,TomekLinks,8,3,1
2,ENN,5,1,6
3,NearMiss,5,2,5
4,AllKNN,4,2,6
5,IHT,3,2,7
6,CNN,8,1,3
7,NCR,4,3,5
8,REEN,5,2,5
9,OSS,5,2,5
10,CC,5,3,4
11,ROS,8,1,3
12,SMOTE,7,2,3
13,BSMOTE,5,4,3
14,SVM,7,2,3
15,SMOTEENN,5,2,5
16,SMOTETomek,10,2,0
