Experiment 1,Experiment 2,Metric,Median difference,Statistic,P-value,Interpretation
Baseline,MLCV,Recall,0.0007401255075673574,15.5,0.06525725678295907,Not Significant
Baseline,MLCV,F1,0.0012295710825123152,14.5,0.054613543950689084,Not Significant
Baseline,MLCV,Precision,0.0,39.0,1.0,Not Significant
RUS_0,RUS_1,Recall,0.0,26.5,0.3266134340151581,Not Significant
RUS_0,RUS_1,F1,-0.0006463266924566224,26.5,0.326799567668966,Not Significant
RUS_0,RUS_1,Precision,-0.00031672517911585096,25.5,0.2895874244268877,Not Significant
TomekLinks_0,TomekLinks_1,Recall,0.0015743816906607089,17.5,0.09168053014599106,Not Significant
TomekLinks_0,TomekLinks_1,F1,0.0015988139680455649,7.5,0.01347119701821317,MLCV Significantly Better
TomekLinks_0,TomekLinks_1,Precision,0.00016884810014200502,19.0,0.11610174398054864,Not Significant
ENN_0,ENN_1,Recall,0.0003764536117477624,31.5,0.5562984612747348,Not Significant
ENN_0,ENN_1,F1,-8.702619589917582e-05,34.5,0.7240816609153895,Not Significant
ENN_0,ENN_1,Precision,-8.798838801504782e-05,36.5,0.8444601962923157,Not Significant
NearMiss_0,NearMiss_1,Recall,5.7691144862925814e-05,27.5,0.36680119939501743,Not Significant
NearMiss_0,NearMiss_1,F1,1.117970314712391e-06,36.5,0.84451926747294,Not Significant
NearMiss_0,NearMiss_1,Precision,-0.0007390759375831002,25.5,0.2895874244268877,Not Significant
AllKNN_0,AllKNN_1,Recall,-5.352528608337792e-05,34.5,0.7240816609153895,Not Significant
AllKNN_0,AllKNN_1,F1,-8.097245955496213e-05,38.5,0.9687124153929956,Not Significant
AllKNN_0,AllKNN_1,Precision,0.0,37.5,0.906293509044724,Not Significant
IHT_0,IHT_1,Recall,0.0005599647266313901,31.5,0.5561465266861163,Not Significant
IHT_0,IHT_1,F1,-0.0005557819175072698,21.5,0.16981050508552142,Not Significant
IHT_0,IHT_1,Precision,-0.0007872520071472433,23.5,0.22401538408861243,Not Significant
CNN_0,CNN_1,Recall,0.000680049143290562,27.5,0.36680119939501743,Not Significant
CNN_0,CNN_1,F1,0.0012150604586349534,30.5,0.5049031767231309,Not Significant
CNN_0,CNN_1,Precision,0.0007168520048195792,23.5,0.22401538408861243,Not Significant
NCR_0,NCR_1,Recall,-0.0014682539682540074,27.5,0.36698557185492453,Not Significant
NCR_0,NCR_1,F1,-3.638081738721599e-05,32.5,0.6101201547975077,Not Significant
NCR_0,NCR_1,Precision,-6.30108751519809e-05,35.5,0.7835711252143678,Not Significant
Reen_0,Reen_1,Recall,-0.00044387336238560504,23.5,0.22401538408861243,Not Significant
Reen_0,Reen_1,F1,3.536179343621715e-05,36.5,0.84451926747294,Not Significant
Reen_0,Reen_1,Precision,-0.00023255813953482196,31.5,0.5561465266861163,Not Significant
OSS_0,OSS_1,Recall,-0.0012389770723102433,22.5,0.1955388591039955,Not Significant
OSS_0,OSS_1,F1,3.337067430242424e-05,37.5,0.9063293908364868,Not Significant
OSS_0,OSS_1,Precision,-1.5580964797423658e-05,33.5,0.6661372044883171,Not Significant
CC_0,CC_1,Recall,0.0006773717238832688,15.0,0.05934643879191985,Not Significant
CC_0,CC_1,F1,6.474403711065335e-05,26.5,0.326799567668966,Not Significant
CC_0,CC_1,Precision,-8.104298801969723e-05,36.5,0.84451926747294,Not Significant
ROS_0,ROS_1,Recall,0.0004360155612567751,19.5,0.12608955395259033,Not Significant
ROS_0,ROS_1,F1,0.00042669662313540857,20.5,0.14670764206619935,Not Significant
ROS_0,ROS_1,Precision,0.0007653500676758074,22.5,0.19536693789564952,Not Significant
SMOTE_0,SMOTE_1,Recall,0.00045581869111277484,18.5,0.10780182537536617,Not Significant
SMOTE_0,SMOTE_1,F1,0.0006767028758588034,20.5,0.14670764206619935,Not Significant
SMOTE_0,SMOTE_1,Precision,0.00027474919696712785,25.5,0.28940186128033996,Not Significant
BSMOTE_0,BSMOTE_1,Recall,8.63168367992162e-05,32.5,0.6099826797058603,Not Significant
BSMOTE_0,BSMOTE_1,F1,3.3904064603407225e-05,30.5,0.5047392591799146,Not Significant
BSMOTE_0,BSMOTE_1,Precision,-1.926255858442083e-05,38.5,0.9687003809366239,Not Significant
SVM_0,SVM_1,Recall,0.0006681432262828912,17.5,0.09168053014599106,Not Significant
SVM_0,SVM_1,F1,0.0004892894738395825,20.5,0.14670764206619935,Not Significant
SVM_0,SVM_1,Precision,0.0,32.5,0.6099826797058603,Not Significant
SMOTENN_0,SMOTENN_1,Recall,0.0007997557997557192,24.5,0.2553403615339004,Not Significant
SMOTENN_0,SMOTENN_1,F1,-2.8448688191129445e-05,38.5,0.9687124153929956,Not Significant
SMOTENN_0,SMOTENN_1,Precision,-3.835978835958764e-05,28.0,0.3874551722971866,Not Significant
SMOTETomek_0,SMOTETomek_1,Recall,0.00029761904761899105,19.5,0.12608955395259033,Not Significant
SMOTETomek_0,SMOTETomek_1,F1,0.0011883692085097874,2.5,0.004192592583893192,MLCV Significantly Better
SMOTETomek_0,SMOTETomek_1,Precision,0.0011270811827663874,6.5,0.01075713311978963,MLCV Significantly Better
