,Method,Wins,Ties,Losses
0,RUS,3,7,2
1,TomekLinks,5,6,1
2,ENN,2,6,4
3,NearMiss,3,6,3
4,AllKNN,1,8,3
5,IHT,2,7,3
6,CNN,3,6,3
7,NCR,2,6,4
8,REEN,2,6,4
9,OSS,0,6,6
10,CC,4,7,1
11,ROS,4,6,2
12,SMOTE,5,7,0
13,BSMOTE,6,6,0
14,SVM,3,6,3
15,SMOTEENN,1,6,5
16,SMOTETomek,3,7,2
