,Method,Wins,Ties,Losses
0,RUS,3,7,2
1,TomekLinks,4,6,2
2,ENN,3,6,3
3,NearMiss,2,6,4
4,AllKNN,1,7,4
5,IHT,1,6,5
6,CNN,2,6,4
7,NCR,2,6,4
8,REEN,2,6,4
9,OSS,2,6,4
10,CC,5,7,0
11,ROS,5,6,1
12,SMOTE,4,7,1
13,BSMOTE,5,6,1
14,SVM,3,6,3
15,SMOTEENN,1,6,5
16,SMOTETomek,5,6,1
