Dataset,Experiment,Mean_Recall,Std_Recall,Mean_F1,Std_F1,Mean_Precision,Std_Precision
Haberman,ROS_0,0.6018137254901961,0.05759055020149202,0.390124374883379,0.0176685260468075,0.29634776523848344,0.021785415372923757
Haberman,ROS_1,0.6053676470588234,0.06583467013520186,0.38230125985904867,0.02056465151913208,0.28700659970219516,0.018394085632901763
Haberman,SMOTE_0,0.6499754901960785,0.0840649437539711,0.39499305980005295,0.016131114975109696,0.29204800383245183,0.019465452889290264
Haberman,SMOTE_1,0.633700980392157,0.08410643764724618,0.39179444078890635,0.02689716511975051,0.29166049568909586,0.026057151405979407
Haberman,BSMOTE_0,0.6670588235294118,0.09948294817749095,0.3933678315536217,0.020009521425838457,0.2879081443129871,0.014702597297122439
Haberman,BSMOTE_1,0.6628921568627454,0.09086318197869024,0.3843006796897867,0.026731878367912968,0.2783450564191438,0.020912145751550593
Haberman,SVM_0,0.43279411764705883,0.06437515747284801,0.33791636609411824,0.046033717745906914,0.281513914129305,0.03674161745893786
Haberman,SVM_1,0.42504901960784314,0.0607185365161482,0.3348443761900196,0.046520771713951574,0.28085386916789035,0.03950341923513396
Haberman,SMOTEENN_0,0.8096813725490196,0.07806965071242879,0.41703279365929913,0.017625462257830377,0.2846175260797974,0.01091473063487318
Haberman,SMOTEENN_1,0.8166176470588237,0.09186677330193373,0.4194048973579509,0.016585946599377566,0.2867957232688465,0.014587359261439404
Haberman,SMOTETomek_0,0.6503921568627449,0.08703466918939452,0.3954249855820461,0.016671043413508058,0.29240617416291964,0.018652713735739675
Haberman,SMOTETomek_1,0.6328676470588237,0.08511203307841075,0.39149123631664484,0.026004263159153055,0.29146464564662306,0.02537723141849848
HeartCleveland,Baseline,0.709479717813051,0.007989851108169983,0.7198709866970583,0.006292503710540944,0.7353543383855631,0.007783170004050009
HeartCleveland,RUS_0,0.7404144620811288,0.008336953199777982,0.730929871775997,0.006591222924744113,0.7257616787746722,0.007998802902807136
HeartCleveland,RUS_1,0.7385008818342151,0.009938721510170593,0.7304758619009531,0.004863361219126996,0.7261842177658608,0.0053290371084880085
HeartCleveland,MLCV,0.7094797178130514,0.008342100405896334,0.7190282223658309,0.006410262158241392,0.7326402524159452,0.005977368438213434
HeartCleveland,TomekLinks_0,0.7498853615520281,0.007369100791142644,0.7353573520230654,0.005698582347903018,0.7254964068684203,0.007556414340712011
HeartCleveland,TomekLinks_1,0.7509347442680777,0.006490826985722501,0.7364177758275361,0.004267835934306281,0.7257167577748672,0.005174736202815124
HeartCleveland,ENN_0,0.8321604938271605,0.01381899492993243,0.6969447352168994,0.014507649610853898,0.6061942115438571,0.02072509513147026
HeartCleveland,ENN_1,0.8299559082892415,0.015486126136305992,0.6965022955601996,0.012210200679046289,0.60763708594759,0.018041237002404325
HeartCleveland,NearMiss_0,0.7325661375661376,0.008387077888144703,0.7279399159112977,0.008321823549763616,0.7279280028909387,0.011182408108803752
HeartCleveland,NearMiss_1,0.7290123456790124,0.009921477526435081,0.7257375107459295,0.00630728557054914,0.7262607733499348,0.006416491826088276
HeartCleveland,AllKNN_0,0.7652116402116402,0.005725440643938831,0.7376585044542919,0.005383953456471945,0.7158976502754603,0.008835168848769209
HeartCleveland,AllKNN_1,0.7632892416225747,0.006724186830200793,0.7367285980135552,0.00625293194730988,0.7150942208724923,0.00765537516749685
HeartCleveland,IHT_0,0.7433421516754848,0.007953269581967194,0.7316265904336022,0.0059783031519075654,0.724401139055195,0.007106507925088859
HeartCleveland,IHT_1,0.7419135802469138,0.007484383155335767,0.7317953093494849,0.004821611633105842,0.725196075752228,0.005437419004741818
HeartCleveland,CNN_0,0.9099118165784833,0.025819503467304335,0.647876125504664,0.01162189594588096,0.5075131313914912,0.014806080207039203
HeartCleveland,CNN_1,0.9120723104056437,0.021021509087111104,0.6449981345544266,0.01369129714933386,0.5023495332824529,0.019869889973695147
HeartCleveland,NCR_0,0.8185273368606703,0.01227457794872354,0.7060482177856232,0.011567170995104754,0.6255533390923537,0.014468018764349388
HeartCleveland,NCR_1,0.8168783068783069,0.014049653263635466,0.7040366617064422,0.011877474934208208,0.6245520992837909,0.01783185135149178
HeartCleveland,REEN_0,0.8321604938271605,0.01381899492993243,0.6969447352168994,0.014507649610853898,0.6061942115438571,0.02072509513147026
HeartCleveland,REEN_1,0.8299559082892415,0.015486126136305992,0.6965022955601996,0.012210200679046289,0.60763708594759,0.018041237002404325
HeartCleveland,OSS_0,0.7537654320987653,0.008369628786665672,0.7361437167649315,0.006216664446039456,0.7233786557238816,0.008991802970445469
HeartCleveland,OSS_1,0.7553527336860669,0.007893381750523818,0.7378383592000968,0.005085269068284919,0.7242545421357526,0.006966168974261331
HeartCleveland,CC_0,0.7367460317460314,0.008179225076503503,0.7296044570061769,0.006380793225788437,0.7267004401609001,0.008060664738401778
HeartCleveland,CC_1,0.7367901234567902,0.009061360413172613,0.7296633870966682,0.006090104229143459,0.7260273277249206,0.0058479420470193225
HeartCleveland,ROS_0,0.7374779541446208,0.007856544058006426,0.7297492992344441,0.0055199392477864664,0.7265889060274051,0.007213442358926243
HeartCleveland,ROS_1,0.7353350970017637,0.007483759726025239,0.7289662468936637,0.005579146587532717,0.7259739159058606,0.00724373240031357
HeartCleveland,SMOTE_0,0.7397089947089948,0.00893494775257404,0.7309813635577643,0.006352982842099742,0.7265296087390885,0.007153173366927482
HeartCleveland,SMOTE_1,0.734832451499118,0.008690609292287484,0.7286592934073453,0.005577346448940224,0.7258937614190702,0.005620185673964919
HeartCleveland,BSMOTE_0,0.7367460317460317,0.009271684784434629,0.7290926696656238,0.00644100636105333,0.7259896858585386,0.008465584621417593
HeartCleveland,BSMOTE_1,0.736984126984127,0.008434521847471845,0.7296408764704069,0.005256010222791734,0.7257605179214327,0.005903349326961481
HeartCleveland,SVM_0,0.7447707231040562,0.00855924933632454,0.7325069169022032,0.005542950272157705,0.7248259038816252,0.007419787526715209
HeartCleveland,SVM_1,0.7441093474426808,0.00950859389417178,0.7330783629715103,0.005413922740269207,0.7257256611764873,0.005285098288629089
HeartCleveland,SMOTEENN_0,0.7393827160493828,0.01113056442127982,0.7316182137704575,0.007318155515117664,0.7284371981227287,0.007661044977365387
HeartCleveland,SMOTEENN_1,0.7417019400352733,0.009745002246756496,0.7326166689686406,0.006652715918469351,0.7270279725167811,0.00679963023155933
