,Method,Wins,Ties,Losses
0,RUS,4,3,5
1,TomekLinks,5,7,0
2,ENN,4,4,4
3,NearMiss,5,2,5
4,AllKNN,4,4,4
5,IHT,3,3,6
6,CNN,3,3,6
7,NCR,5,4,3
8,REEN,6,2,4
9,OSS,5,6,1
10,CC,2,3,7
11,ROS,5,2,5
12,SMOTE,3,1,8
13,BSMOTE,5,1,6
14,SVM,3,1,8
15,SMOTEENN,7,1,4
16,SMOTETomek,2,1,9
