,Method,Wins,Ties,Losses
0,RUS,1,6,5
1,TomekLinks,4,6,2
2,ENN,3,6,3
3,NearMiss,4,6,2
4,AllKNN,2,6,4
5,IHT,0,6,6
6,CNN,2,6,4
7,NCR,3,6,3
8,REEN,0,6,6
9,OSS,3,7,2
10,CC,2,6,4
11,ROS,4,6,2
12,SMOTE,3,6,3
13,BSMOTE,3,6,3
14,SVM,3,6,3
15,SMOTEENN,1,6,5
16,SMOTETomek,3,6,3
