,Method,Wins,Ties,Losses
0,RUS,1,6,5
1,TomekLinks,1,10,1
2,ENN,4,7,1
3,NearMiss,2,6,4
4,AllKNN,3,6,3
5,IHT,1,6,5
6,CNN,4,7,1
7,NCR,5,7,0
8,REEN,3,6,3
9,OSS,2,9,1
10,CC,2,6,4
11,ROS,2,6,4
12,SMOTE,2,7,3
13,BSMOTE,3,6,3
14,SVM,1,6,5
15,SMOTEENN,3,6,3
16,SMOTETomek,3,6,3
