,Method,Wins,Ties,Losses
0,RUS,3,6,3
1,TomekLinks,3,6,3
2,ENN,2,6,4
3,NearMiss,1,6,5
4,AllKNN,2,6,4
5,IHT,1,7,4
6,CNN,3,6,3
7,NCR,2,6,4
8,REEN,3,6,3
9,OSS,3,6,3
10,CC,3,6,3
11,ROS,5,6,1
12,SMOTE,2,6,4
13,BSMOTE,3,6,3
14,SVM,3,6,3
15,SMOTEENN,1,6,5
16,SMOTETomek,4,6,2
