Experiment 1,Experiment 2,Metric,Mean 1,Mean 2,Std 1,Std 2
Baseline,MLCV,Recall,0.6865577827153588,0.6862626176878605,0.3331787727808593,0.33398650432927957
Baseline,MLCV,F1,0.7144076540730167,0.7146197304999354,0.31241803697218273,0.31354457048652945
Baseline,MLCV,Precision,0.7781042963241217,0.7790689222671087,0.2507421606118998,0.25245595014308325
RUS_0,RUS_1,Recall,0.8412855252542784,0.841270202873429,0.14663475886095897,0.14572400760263654
RUS_0,RUS_1,F1,0.7664595636155265,0.7673846754790002,0.22514586952845042,0.2247330894332314
RUS_0,RUS_1,Precision,0.7280065791484746,0.7290191362113863,0.2676015703734307,0.2675557284202839
TomekLinks_0,TomekLinks_1,Recall,0.7259114557893319,0.7258764581295695,0.2984607063687125,0.29892988043941665
TomekLinks_0,TomekLinks_1,F1,0.7348693169273494,0.7354609222700147,0.2878468044714109,0.28927844311673545
TomekLinks_0,TomekLinks_1,Precision,0.7635844185682399,0.7628715409893129,0.24895453638103268,0.25497821669598253
ENN_0,ENN_1,Recall,0.8192662608458537,0.8186109857594509,0.24107779251512737,0.24078792649007624
ENN_0,ENN_1,F1,0.7542174514427854,0.7547882440926501,0.2544570877235603,0.25387338615030236
ENN_0,ENN_1,Precision,0.7245565094758478,0.7258834515595298,0.2611697483317929,0.26024358682296095
NearMiss_0,NearMiss_1,Recall,0.8239907718833196,0.824325231914869,0.1664979903913232,0.16860229548715525
NearMiss_0,NearMiss_1,F1,0.7481524867866379,0.7492198345970608,0.2521527136887846,0.25291969902033107
NearMiss_0,NearMiss_1,Precision,0.715195786660103,0.7161414049163256,0.29664492334497233,0.2971651148527338
AllKNN_0,AllKNN_1,Recall,0.8385415077767019,0.8359287855831261,0.2128362256102845,0.2147757158926651
AllKNN_0,AllKNN_1,F1,0.761282012931801,0.7603269640176474,0.24207580910493748,0.2434897220135601
AllKNN_0,AllKNN_1,Precision,0.7227277985944623,0.7229121839910772,0.2683424758666811,0.26795337431285665
IHT_0,IHT_1,Recall,0.8911163538309065,0.8882072032487928,0.10332123618956833,0.10335682006138544
IHT_0,IHT_1,F1,0.7590424134224464,0.7580381649808224,0.22803298676171063,0.22912956183566754
IHT_0,IHT_1,Precision,0.6994003766070244,0.6990073478763755,0.28313776532134616,0.2841602508814374
CNN_0,CNN_1,Recall,0.8107378374494137,0.8105535554927207,0.21756660138736922,0.21739287607067895
CNN_0,CNN_1,F1,0.7606628111908885,0.7606224885666029,0.23619030999728094,0.23534547918362367
CNN_0,CNN_1,Precision,0.730610198628912,0.7306220728835385,0.25208430248204183,0.25072995156602373
NCR_0,NCR_1,Recall,0.8046867588892271,0.8042868944699114,0.24892866473592384,0.2483459650745217
NCR_0,NCR_1,F1,0.7554722787607923,0.7558153941099506,0.25613628859883175,0.2555315890421293
NCR_0,NCR_1,Precision,0.7333588914410848,0.7354600719380956,0.2527688246277197,0.25045116018467983
Reen_0,Reen_1,Recall,0.8660427394748759,0.8645920909000719,0.16772724943180076,0.16724136733053632
Reen_0,Reen_1,F1,0.7590574012007937,0.7589798599369494,0.23632077783773756,0.23677905441932245
Reen_0,Reen_1,Precision,0.7033689436178823,0.7040230193961167,0.2818326819459348,0.28156871979718384
OSS_0,OSS_1,Recall,0.7285531091465095,0.7281354042030036,0.2978514982503537,0.29816360691197424
OSS_0,OSS_1,F1,0.7357715645860599,0.7356447594172155,0.2871844930928235,0.2878417935039073
OSS_0,OSS_1,Precision,0.7619985047064177,0.7614638357551701,0.250099183934339,0.251637595607566
CC_0,CC_1,Recall,0.8343733345355231,0.8338752108078146,0.1545747438677323,0.15371221911578495
CC_0,CC_1,F1,0.7640005823120309,0.7631845477395269,0.22150603200982583,0.22084327688489286
CC_0,CC_1,Precision,0.7292738673426582,0.7281194615577583,0.26351281592876497,0.26327966890367577
ROS_0,ROS_1,Recall,0.8296549470331865,0.8307493148878224,0.1619241846150894,0.15945372495213095
ROS_0,ROS_1,F1,0.774603814483893,0.7759510142479015,0.2252623716466437,0.22386711003007986
ROS_0,ROS_1,Precision,0.7454006788469033,0.7463501128626279,0.26388621201960755,0.263168902620291
SMOTE_0,SMOTE_1,Recall,0.8285485653894707,0.8283850508189269,0.16139251715439296,0.16319844038972034
SMOTE_0,SMOTE_1,F1,0.7755595257285717,0.7778352831857456,0.2236444236195692,0.2235279552990464
SMOTE_0,SMOTE_1,Precision,0.7472295127313745,0.7511859781927589,0.26191845350886034,0.2605736822760785
BSMOTE_0,BSMOTE_1,Recall,0.8289199453314806,0.8286396625958307,0.16616710811367594,0.1676513904643384
BSMOTE_0,BSMOTE_1,F1,0.774208176127927,0.7757103260493051,0.22473680069370802,0.22447453791163235
BSMOTE_0,BSMOTE_1,Precision,0.7438686956723269,0.7458670067644286,0.2603910697946572,0.2592212844602584
SVM_0,SVM_1,Recall,0.7983245291404963,0.8009480167190383,0.21013960461632003,0.21138748143577693
SVM_0,SVM_1,F1,0.7678516616642638,0.7708357582065067,0.23432701903546704,0.23473976631755258
SVM_0,SVM_1,Precision,0.7512502743741312,0.7540933626786135,0.2528866570738323,0.252789141324348
