,Method,Wins,Ties,Losses
0,RUS,7,2,3
1,TomekLinks,6,1,5
2,ENN,6,2,4
3,NearMiss,9,1,2
4,AllKNN,5,1,6
5,IHT,3,3,6
6,CNN,6,1,5
7,NCR,4,2,6
8,REEN,6,2,4
9,OSS,6,2,4
10,CC,5,1,6
11,ROS,7,2,3
12,SMOTE,9,1,2
13,BSMOTE,7,1,4
14,SVM,9,2,1
15,SMOTEENN,5,1,6
16,SMOTETomek,7,2,3
