,Method,Wins,Ties,Losses
0,RUS,2,7,3
1,TomekLinks,1,9,2
2,ENN,1,7,4
3,NearMiss,4,6,2
4,AllKNN,2,7,3
5,IHT,1,6,5
6,CNN,2,7,3
7,NCR,2,7,3
8,REEN,0,6,6
9,OSS,1,9,2
10,CC,3,6,3
11,ROS,1,7,4
12,SMOTE,1,6,5
13,BSMOTE,3,7,2
14,SVM,4,6,2
15,SMOTEENN,1,7,4
16,SMOTETomek,2,6,4
