Method,Wins,Ties,Losses
RUS,26,76,42
TomekLinks,45,83,16
ENN,30,75,39
NearMiss,40,72,32
AllKNN,23,78,43
IHT,20,74,50
CNN,27,75,42
NCR,34,75,35
REEN,23,72,49
OSS,32,85,27
CC,43,76,25
ROS,45,73,26
SMOTE,38,76,30
BSMOTE,45,74,25
SVM,34,72,38
SMOTEENN,21,74,49
SMOTETomek,44,73,27
