Method,Wins,Ties,Losses
RUS,65,20,59
TomekLinks,70,38,36
ENN,65,27,52
NearMiss,75,17,52
AllKNN,66,25,53
IHT,51,26,67
CNN,69,21,54
NCR,60,30,54
REEN,69,24,51
OSS,65,33,46
CC,68,22,54
ROS,76,24,44
SMOTE,83,17,44
BSMOTE,69,21,54
SVM,75,22,47
SMOTEENN,63,16,65
SMOTETomek,81,20,43
