,Method,Wins,Ties,Losses
0,RUS,4,1,7
1,TomekLinks,4,7,1
2,ENN,2,4,6
3,NearMiss,6,2,4
4,AllKNN,3,5,4
5,IHT,3,2,7
6,CNN,5,3,4
7,NCR,4,5,3
8,REEN,2,2,8
9,OSS,4,6,2
10,CC,5,2,5
11,ROS,3,3,6
12,SMOTE,7,1,4
13,BSMOTE,2,1,9
14,SVM,1,2,9
15,SMOTEENN,4,2,6
16,SMOTETomek,7,1,4
